time,m_filename_hash,m_mission_hash,m_present_time,m_speed,m_pitch,m_roll,m_heading,m_fin,m_depth,m_depth_rate,m_water_depth,m_pressure,m_altitude,m_battery,m_vacuum,m_ballast_pumped,m_de_oil_vol,m_battpos,m_thruster_power,m_thruster_current,c_pitch,c_roll,c_heading,c_fin,m_gps_x_lmc,m_gps_y_lmc,m_gps_fix_x_lmc,m_gps_fix_y_lmc,m_gps_status,m_gps_full_status,m_x_lmc,m_y_lmc,m_dr_time,m_dr_surf_x_lmc,m_dr_surf_y_lmc,m_ext_x_lmc,m_ext_y_lmc,m_ext_z_lmc,x_lmc_xy_source,c_wpt_x_lmc,c_wpt_y_lmc,m_lat,m_lon,m_gps_lat,m_gps_lon,c_wpt_lat,c_wpt_lon,m_water_vx,m_water_vy,m_vx_lmc,m_vy_lmc,m_coulomb_amphr,m_thruster_watthr,m_appear_to_be_at_surface,m_science_clothesline_lag,sci_m_present_time,x_software_ver
1618020300.10452,-3.5029419782698706e+18,8.986294831247175e+18,1618002300.10452,0.0,0.0575959,-0.0872665,0.191986,0.0,0.0,0.0,-1.0,-0.0390835,0.0,16.1752,8.46245,0.0,421.257,1.2072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,7.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4130.9679,-7040.4531,69696969.0,69696969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0675,0.0,1.0,12.3766,1618002304.94,8.2
1618020319.48697,-3.5029419782698706e+18,8.986294831247175e+18,1618002319.48697,,0.0663225,-0.0942478,0.511381,-0.00289484,0.0,0.0,,-0.041833,,,,,421.311,-1.19858,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.06875,,1.0,3.70053,1618002328.93332,
1618021204.05289,5.178422571055612e+18,4.073504650584483e+17,1618003204.05289,0.0,-0.00174533,-0.0767945,5.92888,-0.00289484,0.0,0.0,-1.0,-0.0390835,0.0,16.1532,8.5857,0.0,421.42,1.20387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,7.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4130.9679,-7040.4531,69696969.0,69696969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01375,0.0,1.0,43.2752,1618003177.39694,8.2
1618021223.4147,5.178422571055612e+18,4.073504650584483e+17,1618003223.4147,,0.0191986,-0.0785398,6.04408,0.0,0.0,0.0,,-0.041833,,,,,421.42,-1.20192,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.015,,1.0,11.8138,1618003224.40305,
1618021446.48483,1.6709452474981696e+16,-4.933292685870406e+18,1618003446.48483,0.0,0.0418879,-0.0733038,6.02488,0.0,0.0,0.0,-1.0,-0.0390835,0.0,16.1632,8.60871,0.0,421.338,1.18887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,7.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4130.9679,-7040.4531,69696969.0,69696969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02875,0.0,1.0,14.0681,1618003449.39795,8.2
1618021465.64154,1.6709452474981696e+16,-4.933292685870406e+18,1618003465.64154,,0.0436332,-0.0750492,6.21163,0.0,0.0,0.0,,-0.0445824,,,,,421.392,-1.19858,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.02875,,1.0,13.379,1618003465.40488,
1618023746.8432,8.978689185146085e+18,-6.300213946354519e+18,1618005746.8432,0.0,-0.0261799,-0.162316,2.988,0.00289484,0.0,0.0,-1.0,-0.106169,0.0,16.1815,8.85028,0.0,421.8,1.18388,0.0,0.0,0.0,0.0,0.0,0.0,0.987041,-0.0889366,0.0,0.0,0.0,7.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4131.44910006647,-7040.61850000613,4131.4492,-7040.6178,0.0,0.0,0.0,0.0,0.0,0.0,0.15875,0.0,1.0,11.0919,1618005753.40811,8.2
1618023766.76883,8.978689185146085e+18,-6.300213946354519e+18,1618005766.76883,,-0.015708,-0.116937,2.81347,0.00289484,0.0,0.0,,-0.106169,,,,,421.908,-1.19858,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.15875,,1.0,5.4664,1618005774.39789,
1618024060.91116,-6.60565592930964e+17,-4.757889074435395e+18,1618006060.91116,0.0,-0.0418879,-0.216421,0.506145,0.0,0.0,0.0,-1.0,-0.0214354,0.0,16.1762,8.95422,0.0,421.881,1.21053,0.0,0.0,0.0,0.0,0.0,0.0,0.668786,-0.190659,0.0,0.0,0.0,7.0,0.668786,-0.190659,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4131.45290006647,-7040.61810000613,4131.4529,-7040.6181,0.0,0.0,0.0,0.0,-0.0,-0.0,0.17625,0.0,1.0,12.1832,1618006065.40436,8.2
1618024079.76376,-6.60565592930964e+17,-4.757889074435395e+18,1618006079.76376,,-0.010472,-0.162316,1.26013,0.00289484,0.0,0.0,,-0.0269316,,,,,421.881,-1.19858,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.17625,,1.0,3.52496,1618006089.40414,
1618024207.63477,-1.3436162406669752e+18,-6.760145148641058e+18,1618006207.63477,0.0,0.0,-0.0506145,2.58134,-0.00289484,0.0,0.0,-1.0,-0.0269316,0.0,16.1706,8.98421,0.0,421.963,0.96229,0.0,0.0,0.0,0.0,0.0,0.0,0.668786,-0.190659,0.0,0.0,1.0,7.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4131.45290006647,-7040.61810000613,4131.4529,-7040.6181,0.0,0.0,0.0,0.0,0.0,0.0,0.182502,0.0,1.0,0.212555,1618006221.40375,8.2
1618024223.78214,-1.3436162406669752e+18,-6.760145148641058e+18,1618006223.78214,,-0.0191986,-0.18326,2.70526,-0.00289484,0.0,0.0,,-0.0269316,,,,,421.854,-1.19692,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.182502,,1.0,12.5518,1618006224.4039,
1618024823.41501,9.422080768147386e+17,3.585619225284993e+17,1618006823.41501,0.0253035,-0.356047,-0.0610865,1.39975,-0.00578968,0.0883535,0.0521858,-1.0,0.00883535,0.0,15.9803,8.35522,0.0,-188.072,0.635743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,7.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4131.4529,-7040.6181,69696969.0,69696969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,1.0,0.0,0.0,8.2
1618024840.00781,9.422080768147386e+17,3.585619225284993e+17,1618006840.00781,,-0.647517,-0.0261799,1.29503,-0.00578968,0.445539,0.042588,,0.0445539,,,,,-100.051,-1.19692,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.033752,,1.0,,0.0,
1618024855.00906,9.422080768147386e+17,3.585619225284993e+17,1618006855.00906,,-0.0331613,-0.0418879,1.88146,-0.00578968,0.00592599,-0.0298488,,0.000592599,,,,,-12.1932,-1.18859,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.044996,,1.0,,0.0,
1618024870.0098,9.422080768147386e+17,3.585619225284993e+17,1618006870.0098,,0.0471239,-0.120428,1.43466,-0.0115794,0.00592599,0.0,,0.000592599,,,,,76.4522,-1.18692,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.054996,,1.0,,0.0,
1618024885.01666,9.422080768147386e+17,3.585619225284993e+17,1618006885.01666,,-0.00349066,-0.0418879,6.20465,-0.00578968,0.00592599,0.0,,0.000592599,,,,,164.772,-1.18692,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.069996,,1.0,,0.0,
1618024900.03323,9.422080768147386e+17,3.585619225284993e+17,1618006900.03323,,0.0244346,-0.0802851,0.153589,-0.0492123,0.00592599,0.0,,0.000592599,,,,,251.489,-1.18692,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.0725,,1.0,3.15546,1618006910.1987,
1618024915.14673,9.422080768147386e+17,3.585619225284993e+17,1618006915.14673,,0.00174533,-0.0331613,0.579449,0.0607917,0.335636,0.0190992,,0.0335636,,,,,339.075,-1.18692,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.083748,,1.0,4.93921,1618006923.44965,
1618024930.17035,9.422080768147386e+17,3.585619225284993e+17,1618006930.17035,,0.010472,-0.0331613,0.712094,-0.00289484,0.00592599,-0.0234452,,0.000592599,,,,,420.306,-1.18859,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.093748,,1.0,7.19769,1618006936.20242,
1618025119.28204,3.1403840708860764e+18,-8.922903886097699e+18,1618007119.28204,0.0253035,-0.015708,-0.0296706,0.74002,-0.00289484,0.0,-8.38247e-05,-1.0,-0.00215499,0.0,16.1276,8.94518,0.0,421.61,1.22386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,7.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4131.4529,-7040.6181,69696969.0,69696969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114996,0.0,1.0,12.6787,1618007122.20535,8.2
1618025137.06244,3.1403840708860764e+18,-8.922903886097699e+18,1618007137.06244,,-0.00872665,-0.0872665,0.720821,-0.00289484,0.0,0.0,,-0.00765015,,,,,421.61,-1.20192,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.116244,,1.0,4.02542,1618007146.20523,
1618025321.98529,-5.38763389754439e+18,-7.084329222507462e+18,1618007321.98529,0.0253035,-0.0244346,-0.106465,1.9792,-0.0694762,0.0,-8.23867e-05,-1.0,-0.00215499,0.0,16.1657,9.15512,0.0,421.637,1.22553,0.0,0.0,0.0,0.0,0.0,0.0,0.133757,-0.0381316,0.0,0.0,0.0,7.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4131.45960006647,-7040.61300000613,4131.4596,-7040.6129,0.0,0.0,0.0,0.0,0.0,0.0,0.124996,0.0,1.0,12.5424,1618007326.19595,8.2
1618025340.91882,-5.38763389754439e+18,-7.084329222507462e+18,1618007340.91882,,-0.0122173,-0.127409,1.81165,0.0,0.00592599,0.000949678,,0.000592599,,,,,421.555,-1.19858,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.126252,,1.0,12.8907,1618007341.1944,
1618025900.48273,-1.8959284546541647e+18,7.139463908077409e+18,1618007900.48273,0.0253035,-0.0279253,-0.0802851,1.03673,0.00289484,0.0,-8.23981e-05,-1.0,-0.00215499,0.0,16.1723,9.19826,0.0,421.936,1.22886,0.0,0.0,0.0,0.0,0.0,0.0,0.350531,-0.292381,0.0,0.0,0.0,7.0,0.350531,-0.292381,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4131.45750006647,-7040.61100000613,4131.4575,-7040.611,0.0,0.0,0.0,0.0,0.0,0.0,0.1475,0.0,1.0,10.8665,1618007906.20474,8.2
1618025919.25284,-1.8959284546541647e+18,7.139463908077409e+18,1618007919.25284,,-0.0191986,-0.0750492,1.12574,0.00289484,0.0,0.0,,-0.00215499,,,,,421.908,-1.19858,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.1475,,1.0,6.22113,1618007926.19302,
1618028135.56647,-3.523453559930862e+18,1.9495763917271552e+18,1618010135.56647,0.0253035,-0.0279253,-0.109956,2.41903,-0.00289484,0.0,0.0,-1.0,-0.0213881,0.0,16.1486,9.30507,0.0,422.859,1.2072,0.0,0.0,0.0,0.0,0.0,0.0,0.350531,-0.292381,0.0,0.0,0.0,7.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4131.45750006647,-7040.61100000613,4131.4575,-7040.611,0.0,0.0,0.0,0.0,0.0,0.0,0.289996,0.0,1.0,41.9304,1618010110.19836,8.2
1618028154.86047,-3.523453559930862e+18,1.9495763917271552e+18,1618010154.86047,,-0.0401426,-0.0733038,2.27067,-0.00289484,0.0,0.0,,-0.0131453,,,,,422.832,-1.19858,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.291244,,1.0,6.43381,1618010161.18979,
1618070901.58823,5.829927421390307e+18,-2.9120580020130637e+18,1618052901.58823,0.0,-0.0418879,-0.0855211,3.17126,0.0,0.0,-8.49689e-05,-1.0,-0.00215499,0.0,16.1243,9.39176,0.0,424.679,1.19554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4131.4575,-7040.611,69696969.0,69696969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.0,37.9539,1618052878.00491,8.2
1618070918.74301,5.829927421390307e+18,-2.9120580020130637e+18,1618052918.74301,,-0.0366519,-0.0890118,3.1381,0.0,0.0,0.0,,-0.00765015,,,,,424.706,-1.19858,,,,,,0.0,,,0.0,0.0,,,,,-1.0,0.0,0.0,,,,-1.0,,,,,,,,,,,,,0.01,,1.0,4.52393,1618052926.99585,
1618072729.37479,-7.487624180466707e+18,8.254100138398785e+18,1618054729.37479,0.0,-0.0383972,-0.0872665,3.17475,0.00578968,0.00592599,8.39019e-05,-1.0,0.000592599,0.0,16.1198,7.50561,0.0,410.692,-0.510504,0.0,0.0,0.0,0.0,0.0,0.0,0.152189,0.533966,0.0,0.0,0.0,0.0,0.152189,0.533966,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4131.46130006648,-7040.29930000603,4131.4613,-7040.2993,0.0,0.0,0.0,0.0,0.0,0.0,0.1125,0.0,1.0,6.22958,1618054741.33661,8.2
