time,pitch,depth,depth_rate,v_N,v_E,pump_volume,thruster_power,thruster_current
1574771683.94882,-0.47473,150.039,0.39167,-0.00736425,0.703209,-262.567,5.03717,0.6608
1574771688.31473,-0.469494,151.613,0.353735,0.0,0.641817,-262.592,5.03672,0.6608
1574771692.69592,-0.462512,153.214,0.368385,0.0201494,0.678904,-262.579,5.03672,0.6608
1574771696.90689,-0.467748,154.706,0.355573,0.0541981,0.645427,-262.567,5.03672,0.6608
1574771701.11624,-0.466003,156.39,0.399286,0.0522717,0.729228,-262.567,5.03672,0.6608
1574771705.47586,-0.466003,157.964,0.360458,0.0505778,0.657318,-262.592,5.03672,0.6608
1574771709.68179,-0.471239,159.428,0.350744,0.0431126,0.632399,-262.567,5.03672,0.6608
1574771713.89581,-0.462512,161.113,0.39656,0.0382964,0.73074,-262.554,5.03672,0.6608
1574771718.10031,-0.457276,162.632,0.36164,0.0505736,0.672608,-262.567,4.72192,0.6195
1574771722.46387,-0.459022,164.233,0.370601,0.0767693,0.684414,-262.592,5.03672,0.6608
1574771726.66974,-0.464258,165.78,0.352681,0.101274,0.639417,-262.554,5.03672,0.6608
1574771730.87384,-0.462512,167.299,0.374572,0.104482,0.682792,-262.592,5.03672,0.6608
1574771735.08041,-0.460767,168.818,0.364067,0.0563806,0.671418,-262.567,5.03672,0.6608
1574771739.44989,-0.457276,170.502,0.36967,0.0228657,0.689279,-262.592,5.03672,0.6608
1574771743.65775,-0.450295,172.076,0.38848,-0.0141425,0.736551,-262.618,5.03672,0.6608
1574771747.86765,-0.44855,173.54,0.33686,-0.0602534,0.637414,-262.618,5.03672,0.6608
1574771752.07333,-0.44855,174.948,0.343434,-0.0976331,0.645569,-262.592,5.03672,0.6608
1574771756.44571,-0.453786,176.522,0.348874,-0.112709,0.645796,-262.592,5.03672,0.6608
1574771760.65976,-0.45204,177.986,0.361754,-0.115035,0.672983,-262.579,5.03672,0.6608
1574771764.87204,-0.457276,179.588,0.36561,-0.114909,0.672247,-262.592,5.03672,0.6608
1574771769.07983,-0.459022,180.996,0.34862,-0.107965,0.638327,-262.669,5.03672,0.6608
1574771773.44269,-0.466003,182.653,0.379604,-0.0786404,0.690218,-262.605,5.03672,0.6608
1574771777.6561,-0.467748,184.145,0.35213,-0.0525517,0.639198,-262.643,5.35151,0.7021
1574771781.86737,-0.466003,185.525,0.328139,-0.0230121,0.599023,-262.592,4.72192,0.6195
1574771786.0806,-0.462512,187.044,0.364155,-0.00468662,0.671298,-262.618,5.03672,0.6608
1574771790.44574,-0.467748,188.729,0.385048,0.0379645,0.700994,-262.631,5.03672,0.6608
1574771794.6694,-0.469494,190.303,0.358733,0.0646564,0.647773,-262.631,5.03672,0.6608
1574771798.87418,-0.467748,191.767,0.364456,0.0981559,0.656776,-262.579,4.72192,0.6195
1574771803.08304,-0.466003,193.313,0.352761,0.119759,0.633805,-262.618,5.03672,0.6608
1574771807.44678,-0.462512,194.832,0.359585,0.134406,0.649023,-262.618,5.03672,0.6608
1574771811.65866,-0.462512,196.434,0.369831,0.166121,0.661355,-262.631,5.03672,0.6608
1574771815.86395,-0.457276,198.008,0.383838,0.0897879,0.710744,-262.618,4.72142,0.6195
1574771820.23471,-0.450295,199.61,0.353897,0.0560965,0.668035,-262.669,5.03619,0.6608
1574771824.60526,-0.446804,201.018,0.323255,-0.0129112,0.616376,-262.643,5.03619,0.6608
1574771828.81531,-0.446804,202.62,0.393451,-0.0681705,0.749068,-262.631,5.03619,0.6608
1574771833.02933,-0.445059,204.083,0.336164,-0.100746,0.636083,-262.643,5.03619,0.6608
1574771837.24634,-0.450295,205.409,0.327464,-0.11187,0.609531,-262.605,4.72142,0.6195
