time,pitch,depth,depth_rate,v_N,v_E,pump_volume,thruster_power,thruster_current
1574383432.7157,0.420624,3.2048,0.131055,-0.34688,0.10845,-261.048,,
1574383437.24512,0.420624,3.86786,0.146598,-0.370085,0.134312,-261.036,,
1574383441.76947,0.420624,4.44804,0.127708,-0.341884,0.102882,-261.036,,
1574383446.11151,-0.60912,5.11111,0.141771,-0.330513,-0.0492778,-261.023,,
1574383450.20914,-0.637045,5.82942,0.146955,-0.321845,-0.036134,-261.036,,
1574383454.59378,-0.722566,6.4096,0.174543,-0.315505,-0.0189263,-261.061,0.6195,0.2065
1574383458.81238,-0.722566,7.54234,0.267343,-0.375848,0.0729334,-261.087,0.6195,0.2065
1574383463.03439,-0.647517,8.64744,0.264,-0.377081,0.131744,-261.125,0.6195,0.2065
1574383467.25012,-0.600393,9.75254,0.250647,-0.355455,0.167401,-261.176,0.6195,0.2065
1574383471.63138,-0.595157,10.8576,0.252653,-0.309849,0.203056,-261.214,0.6195,0.2065
1574383475.84979,-0.555015,11.9075,0.261417,-0.273537,0.26461,-261.189,0.7434,0.2478
1574383480.06555,-0.55676,13.0402,0.257615,-0.22232,0.2703,-261.227,0.6195,0.2065
1574383484.28177,-0.55676,14.0624,0.24206,-0.16768,0.25284,-261.278,0.6195,0.2065
1574383488.65158,-0.537561,15.2228,0.268726,-0.116827,0.308729,-261.278,0.6195,0.2065
1574383492.8638,-0.47822,16.2174,0.233637,-0.0652846,0.294682,-261.291,0.6195,0.2065
1574383497.08459,-0.464258,17.0739,0.203192,-0.0357365,0.241631,-261.278,0.6195,0.2065
1574383501.29724,-0.479966,17.9303,0.20509,-0.0114984,0.22277,-261.291,,
1574383505.66748,-0.479966,19.0078,0.241533,0.220928,0.0975189,-261.278,3.68668,0.5782
1574383509.8988,-0.466003,20.3063,0.307119,0.175898,0.345617,-261.278,3.40788,0.5369
1574383514.1235,-0.464258,21.6324,0.317711,0.259182,0.303662,-261.291,3.40788,0.5369
1574383518.34177,-0.45204,23.0967,0.345264,0.287082,0.372072,-261.278,3.40788,0.5369
1574383522.71222,-0.432842,24.4781,0.315744,0.249157,0.365847,-261.278,3.40788,0.5369
1574383526.92963,-0.44855,25.7766,0.321729,0.24079,0.359223,-261.304,3.67003,0.5782
1574383531.14609,-0.445059,27.2684,0.339452,0.246511,0.404989,-261.304,3.40788,0.5369
1574383535.36502,-0.44855,28.5393,0.315274,0.201536,0.374134,-261.304,3.40788,0.5369
1574383539.7327,-0.467748,29.8378,0.297071,0.163825,0.328816,-261.278,3.40788,0.5369
1574383543.95065,-0.445059,31.3021,0.348966,0.220859,0.44619,-261.291,3.40788,0.5369
1574383548.16464,-0.431096,32.8768,0.371584,0.22785,0.521263,-261.304,,
1574383552.38242,-0.439823,34.0925,0.28895,0.104323,0.387619,-261.291,5.43794,0.7021
1574383556.75528,-0.443314,35.7777,0.3708,0.212263,0.505002,-261.304,5.11806,0.6608
1574383560.9733,-0.441568,37.3525,0.375931,0.244705,0.500056,-261.367,5.43794,0.7021
1574383565.19333,-0.432842,38.6786,0.32607,0.26585,0.378711,-261.406,5.11806,0.6608
1574383569.57431,-0.434587,40.1982,0.347318,0.30855,0.393897,-261.393,5.43794,0.7021
1574383573.94757,-0.453786,41.8282,0.367703,0.373716,0.340309,-261.367,5.44067,0.7021
1574383578.1666,-0.457276,43.5135,0.388046,0.461705,0.276364,-261.355,5.12064,0.6608
1574383582.38544,-0.446804,45.1159,0.39468,0.514379,0.245781,-261.444,5.44067,0.7021
1574383586.60077,-0.436332,46.5801,0.33584,0.408438,0.233343,-261.431,5.44067,0.7021
1574383590.9787,-0.432842,48.0997,0.345345,0.413739,0.270021,-261.431,5.44067,0.7021
1574383595.19635,-0.432842,49.5639,0.361368,0.41035,0.329131,-261.495,,
1574383599.41495,-0.431096,51.0006,0.343446,0.32934,0.370944,-261.508,5.04939,0.6608
1574383603.6275,-0.424115,52.5753,0.359373,0.277937,0.47248,-261.457,5.36498,0.7021
1574383607.99634,-0.418879,54.1225,0.353876,0.188283,0.526217,-261.533,5.36498,0.7021
1574383612.21268,-0.417134,55.642,0.360845,0.102468,0.583622,-261.508,5.36498,0.7021
1574383616.43268,-0.420624,57.0786,0.341163,0.051022,0.55189,-261.508,5.36498,0.7021
1574383620.64169,-0.427606,58.4324,0.321404,0.01134,0.510029,-261.52,5.04939,0.6608
1574383625.0123,-0.431096,60.0348,0.365761,0.0905675,0.573173,-261.533,5.04939,0.6608
1574383629.22632,-0.436332,61.5267,0.352027,0.161319,0.503778,-261.533,5.04939,0.6608
1574383633.59769,-0.445059,62.9909,0.349299,0.260042,0.418674,-261.546,5.36498,0.7021
